"delta_gen","s_gen","delta_epi","s_epi"
-0.17935391938706,0.129408540853899,-0.0914604889744848,0.120311460249027
-0.207738285642806,0.129408540853899,-0.207738285642806,0.120311460249027
-0.17935391938706,0.124030630038366,-0.0914604889744848,0.116893973918059
-0.0485692956428435,0.124030630038366,-0.0485692956428435,0.116893973918059
-0.311756527854232,0.111502429164121,-0.311756527854232,0.111502429164121
-0.0485692956428435,0.111502429164121,-0.0485692956428435,0.111502429164121
-0.252596074619652,0.132013552802323,-0.0954595624702713,0.124826211786891
-0.0418121863389085,0.132013552802323,-0.0418121863389085,0.124826211786891
-0.252596074619652,0.137429657814281,-0.0954595624702713,0.12826796927978
-0.202111602609855,0.137429657814281,-0.202111602609855,0.12826796927978
-0.326721109980694,0.119396376007602,-0.326721109980694,0.119396376007602
-0.0418121863389085,0.119396376007602,-0.0418121863389085,0.119396376007602
-0.0418121863389085,0.00710205091447042,-0.0418121863389085,0.00710205091447042
-0.202111602609855,0.00710205091447042,-0.202111602609855,0.00710205091447042
-0.118265701869054,0.0112714111508212,-0.0809055433878884,0.00485068193507537
-0.144013832634934,0.0112714111508212,-0.144013832634934,0.00485068193507537
-0.339757087244994,0.0047844877815733,-0.195839830143376,0.00305981266868043
-0.269907724325155,0.0047844877815733,-0.186548112675044,0.00305981266868043
-0.237692659896656,0.131763638916857,-0.231922753699517,0.140329960779897
-0.117933655902842,0.131763638916857,0.0329181644496563,0.140329960779897
-0.237692659896656,0.00857949541340502,-0.231922753699517,0.0162134361807922
-0.352520478731942,0.00857949541340502,-0.0829631959543025,0.0162134361807922
-0.117933655902842,0.177164257779036,0.0329181644496563,0.204734242128102
-0.169064761447749,0.177164257779036,-0.137800948412061,0.204734242128102
-0.279365212681489,0.0264691627257844,-0.222376227606393,0.0297187335913486
-0.169064761447749,0.0264691627257844,-0.137800948412061,0.0297187335913486
-0.131282608362935,0.00319585622792455,-0.126120558059043,0.00915699793448692
-0.390517223161139,0.00319585622792455,-0.089718798661298,0.00915699793448692
-0.0760884233650978,0.429879604896471,-0.0720330692092966,0.43615582043988
-0.112099531544862,0.429879604896471,0.295643131463341,0.43615582043988
-0.112099531544862,0.146809179004541,0.295643131463341,0.169964382338031
-0.190491766605334,0.146809179004541,-0.162684893008745,0.169964382338031
-0.112099531544862,0.0147196428059854,0.295643131463341,0.0108666541503181
-0.0511440581782826,0.0147196428059854,-0.0505597437334938,0.0108666541503181
-0.0703277064491309,0.0255525320223124,-0.0703277064491309,0.0255525320223124
-0.0914533231169683,0.0255525320223124,-0.0914533231169683,0.0255525320223124
-0.0703277064491309,0.00574515683803274,-0.0703277064491309,0.00574515683803274
-0.162006634911524,0.00574515683803274,-0.162006634911524,0.00574515683803274
-0.0791544528739523,0.142942873630753,-0.0791544528739523,0.142942873630753
-0.0914533231169683,0.142942873630753,-0.0914533231169683,0.142942873630753
-0.0791544528739523,0.115702186322976,-0.0791544528739523,0.115702186322976
-0.162006634911524,0.115702186322976,-0.162006634911524,0.115702186322976
-0.0914533231169683,0.0667837417074608,-0.0914533231169683,0.0667837417074608
-0.162006634911524,0.0667837417074608,-0.162006634911524,0.0667837417074608
-0.396190396080947,0.0320012327304881,-0.31042810567817,0.0338275162969049
-0.154518755689116,0.0320012327304881,-0.151864285278517,0.0338275162969049
-0.154518755689116,0.12960524079104,-0.151864285278517,0.129053035687924
-0.157623715482004,0.12960524079104,-0.156035050632505,0.129053035687924
-0.180736206996678,0.0945774142171414,-0.179615843695626,0.0921096777653101
-0.0650185885141368,0.0945774142171414,-0.0534910596092076,0.0921096777653101
-0.0512394706842837,0.110708548995987,-0.0438347661829761,0.103251391331983
-0.0839139098426107,0.110708548995987,-0.0839139098426107,0.103251391331983
-0.0512394706842837,0.0147373174060813,-0.0438347661829761,0.0102020097372188
-0.0653318160623463,0.0147373174060813,-0.0653318160623463,0.0102020097372188
-0.243383889377396,0.136156026660028,-0.0951438635056914,0.127583252393475
-0.137538758889166,0.136156026660028,-0.137538758889166,0.127583252393475
-0.142754753190957,0.0253775842480545,-0.142754753190957,0.0253775842480545
-0.137538758889166,0.0253775842480545,-0.137538758889166,0.0253775842480545
-0.376260435554864,0.0196141044102234,-0.370881644470851,0.0284067024215643
-0.233602948910126,0.0196141044102234,-0.0696190632729474,0.0284067024215643
-0.233602948910126,0.129769879300382,-0.0696190632729474,0.130914301340166
-0.265651180673055,0.129769879300382,-0.210151997997786,0.130914301340166
-0.154719955693486,0.0757695951671839,-0.149300760722083,0.0826664871733133
