"rank_gen","rank_epi","col"
2.04020100502513,1.8894472361809,"darkgray"
1.435,1.25,"darkgray"
3.075,2.49748743718593,"deepskyblue"
3.19,2.865,"deepskyblue"
2.205,2.545,"red"
2.00510204081633,1.815,"darkgray"
2.74742268041237,3.02150537634409,"darkgray"
1.365,1,"deepskyblue"
2.83,2.35175879396985,"deepskyblue"
2.375,2.48743718592965,"darkgray"
2.355,2.435,"darkgray"
2.215,2.585,"red"
2.52261306532663,2.44615384615385,"darkgray"
2.4,2.72,"red"
3.295,1.285,"deepskyblue"
2.335,2.375,"darkgray"
3.33,2.015,"deepskyblue"
2.64444444444444,3.68390804597701,"red"
1.84,1.75,"darkgray"
2.21212121212121,1.12,"deepskyblue"
2.86075949367089,2,"deepskyblue"
2.4,2.245,"darkgray"
2.48,2.77386934673367,"red"
2.65829145728643,2.58,"darkgray"
2.435,2.62,"darkgray"
1.99,2.08,"darkgray"
2.01234567901235,1.56,"deepskyblue"
3.2,2.025,"deepskyblue"
1.97,2.46,"red"
3.115,2.78,"deepskyblue"
2.23,2.11,"darkgray"
3.275,3.235,"darkgray"
1.01704545454545,1.85340314136126,"red"
2.68,3,"red"
2.34673366834171,2.44949494949495,"darkgray"
2.98,2.81,"deepskyblue"
1.875,1.93467336683417,"darkgray"
3.685,2.99,"deepskyblue"
1.99,2.33,"red"
1.35714285714286,1.24489795918367,"darkgray"
3.265,3.11,"darkgray"
2.82,2.855,"darkgray"
2.25,2.37,"darkgray"
1.215,1.29,"darkgray"
3.24,3.115,"darkgray"
2.09090909090909,1.26903553299492,"deepskyblue"
2.64,2.57,"darkgray"
1.59375,1.38775510204082,"darkgray"
1.555,2.08,"red"
3.225,3.435,"darkgray"
1.52,1.65,"darkgray"
3.675,3.55,"darkgray"
1.995,1.375,"deepskyblue"
3.16582914572864,2.04,"deepskyblue"
3.36904761904762,4,"red"
1.64,1.185,"deepskyblue"
3.39195979899498,2.15116279069767,"deepskyblue"
1.16,1.165,"darkgray"
2.285,1.76649746192893,"deepskyblue"
3.055,3.01,"darkgray"
3.605,4,"red"
2.795,1.9,"deepskyblue"
1.685,1.58080808080808,"darkgray"
2.465,2.38,"darkgray"
2.955,3.11,"darkgray"
1.51,1.485,"darkgray"
1.62,1.77,"darkgray"
2.48241206030151,2.94,"red"
2.75,2.56,"darkgray"
1.66,1.915,"red"
3.24120603015075,3.16,"darkgray"
1.65775401069519,2.03703703703704,"red"
2.45226130653266,2.15075376884422,"deepskyblue"
1.75,1.935,"darkgray"
2.22,1.775,"deepskyblue"
2.235,2.34673366834171,"darkgray"
3.44,3.245,"darkgray"
1.11,1.54,"red"
3.24,2.70103092783505,"deepskyblue"
2.85427135678392,2.98989898989899,"darkgray"
2.595,1.82412060301508,"deepskyblue"
2.41,2.035,"deepskyblue"
2.87,3.02,"darkgray"
2.82142857142857,2.18987341772152,"deepskyblue"
3.17,1.17676767676768,"deepskyblue"
1.68478260869565,1.47849462365591,"deepskyblue"
3.64,3.595,"darkgray"
2.42424242424242,2.26,"darkgray"
1.265,1.25,"darkgray"
3.265,2.64,"deepskyblue"
2.745,1.09045226130653,"deepskyblue"
1.925,1.97,"darkgray"
2.335,2.29,"darkgray"
3.07,1.04,"deepskyblue"
2.165,2.05527638190955,"darkgray"
1.99,1.815,"darkgray"
3.06,2.76,"deepskyblue"
2.545,2.365,"darkgray"
2.615,2.72,"darkgray"
2.36,2.205,"darkgray"
3.48,1.64,"deepskyblue"
2.82142857142857,2.28282828282828,"deepskyblue"
2.71,2.205,"deepskyblue"
2.30967741935484,1.7962962962963,"deepskyblue"
