npeaks,cond,mean,lower,upper
1,gen,1,1,1
1,epi,1,1,1
2,gen,1.401284,1.35166,1.45106
2,epi,1.365855,1.314672,1.418058
3,gen,1.965174,1.904826,2.025211
3,epi,1.861848,1.795648,1.928088
4,gen,2.532753,2.451839,2.61293
4,epi,2.215275,2.129437,2.302481
5,gen,3.206305,3.094727,3.317108
5,epi,2.693188,2.557425,2.83206
6,gen,3.894035,3.683757,4.09936
6,epi,3.057805,2.827683,3.291653
7,gen,4.796771,4.415912,5.162187
7,epi,3.857539,3.335125,4.390564
